donor_id,sampleid,site_biopsy,n_malignant_tnbc,library_size,P8,State_01,State_02,State_03,State_04
HTAPP-425,HTAPP-425-SMP-1771,Breast,1131,9083823,6.129577813778659,4.766819810111915,5.3619401028513884,5.3356219780279055,4.556469729293608
HTAPP-586,HTAPP-586-SMP-8599,Neck,388,789630,4.208428293213048,2.5359571984424534,3.027743776533933,3.7599784965546625,2.7664914829674996
HTAPP-812,HTAPP-812-SMP-8239,Axilla,2372,24271461,5.087414311128961,3.1747248411972344,3.6637710968909953,4.030804419577678,4.770426873452514
HTAPP-908,HTAPP-908-SMP-4412,Axilla,2073,13019562,6.00298932227407,4.531244582225408,4.733177382965564,5.359247258130726,4.006123738145411
HTAPP-917,HTAPP-917-SMP-4531,Liver,10760,78072566,4.361890090459422,3.42455174643015,3.404220282986182,4.332456671668411,3.9497880397431415
