state_id,candidate_a,candidate_b,genes_remaining,spearman_without_union_top10,passes_rho_0_30
State_01,ARTEMIS_C01,WU_GSE176078_C03,968,0.6007483601570129,True
State_01,ARTEMIS_C01,KARAAYVAZ_GSE118389_C04,621,0.5692793130874634,True
State_01,WU_GSE176078_C03,KARAAYVAZ_GSE118389_C04,661,0.5511088371276855,True
State_02,GSE246613_P08,ARTEMIS_C04,805,0.5430235589342931,True
State_02,GSE246613_P08,WU_GSE176078_C05,764,0.4191165967522831,True
State_02,ARTEMIS_C04,WU_GSE176078_C05,967,0.6123393177986145,True
State_03,ARTEMIS_C03,WU_GSE176078_C08,967,0.6374410390853882,True
State_04,ARTEMIS_C05,WU_GSE176078_C06,967,0.650704026222229,True
