"clinical_id","alias_code","sample_alias","run_accession","sample_accession","experiment_accession"
"KTN129","0cell","KTN1290cell274","SRR5960430","SAMN07545190","SRX3118643"
"KTN129","0cell","KTN1290cell272","SRR5960432","SAMN07545188","SRX3118641"
"KTN129","0cell","KTN1290cell277","SRR5960433","SAMN07545193","SRX3118640"
"KTN129","0cell","KTN1290cell275","SRR5960435","SAMN07545191","SRX3118638"
"KTN129","0cell","KTN1290cell176","SRR5960437","SAMN07545092","SRX3118636"
"KTN129","OPcell","KTN129OPcell8","SRR5960447","SAMN07545402","SRX3118626"
"KTN129","OPcell","KTN129OPcell10","SRR5960449","SAMN07545404","SRX3118624"
"KTN129","0cell","KTN1290cell360","SRR5960466","SAMN07545276","SRX3118607"
"KTN129","0cell","KTN1290cell355","SRR5960471","SAMN07545271","SRX3118602"
"KTN129","0cell","KTN1290cell351","SRR5960475","SAMN07545267","SRX3118598"
"KTN129","0cell","KTN1290cell58","SRR5960480","SAMN07544974","SRX3118593"
"KTN129","0cell","KTN1290cell52","SRR5960482","SAMN07544968","SRX3118591"
"KTN129","0cell","KTN1290cell53","SRR5960485","SAMN07544969","SRX3118588"
"KTN129","0cell","KTN1290cell139","SRR5960489","SAMN07545055","SRX3118584"
"KTN129","0cell","KTN1290cell131","SRR5960491","SAMN07545047","SRX3118582"
"KTN129","0cell","KTN1290cell137","SRR5960497","SAMN07545053","SRX3118576"
"KTN129","0cell","KTN1290cell422","SRR5960499","SAMN07545338","SRX3118574"
"KTN129","0cell","KTN1290cell224","SRR5960507","SAMN07545140","SRX3118566"
"KTN129","0cell","KTN1290cell147","SRR5960511","SAMN07545063","SRX3118562"
"KTN129","0cell","KTN1290cell314","SRR5960521","SAMN07545230","SRX3118552"
"KTN129","0cell","KTN1290cell442","SRR5960530","SAMN07545358","SRX3118543"
"KTN129","0cell","KTN1290cell20","SRR5960531","SAMN07544936","SRX3118542"
"KTN129","0cell","KTN1290cell12","SRR5960533","SAMN07544928","SRX3118540"
"KTN129","0cell","KTN1290cell409","SRR5960544","SAMN07545325","SRX3118529"
"KTN129","0cell","KTN1290cell406","SRR5960545","SAMN07545322","SRX3118528"
"KTN129","0cell","KTN1290cell402","SRR5960549","SAMN07545318","SRX3118524"
"KTN129","0cell","KTN1290cell362","SRR5960558","SAMN07545278","SRX3118515"
"KTN129","0cell","KTN1290cell369","SRR5960561","SAMN07545285","SRX3118512"
"KTN129","0cell","KTN1290cell270","SRR5960563","SAMN07545186","SRX3118510"
"KTN129","0cell","KTN1290cell266","SRR5960569","SAMN07545182","SRX3118504"
"KTN129","0cell","KTN1290cell265","SRR5960570","SAMN07545181","SRX3118503"
"KTN129","0cell","KTN1290cell268","SRR5960571","SAMN07545184","SRX3118502"
"KTN129","0cell","KTN1290cell106","SRR5960578","SAMN07545022","SRX3118495"
"KTN129","0cell","KTN1290cell215","SRR5960585","SAMN07545131","SRX3118488"
"KTN129","0cell","KTN1290cell214","SRR5960592","SAMN07545130","SRX3118481"
"KTN129","0cell","KTN1290cell447","SRR5960602","SAMN07545363","SRX3118471"
"KTN129","0cell","KTN1290cell321","SRR5960603","SAMN07545237","SRX3118470"
"KTN129","0cell","KTN1290cell322","SRR5960604","SAMN07545238","SRX3118469"
"KTN129","0cell","KTN1290cell324","SRR5960606","SAMN07545240","SRX3118467"
"KTN129","0cell","KTN1290cell43","SRR5960616","SAMN07544959","SRX3118457"
"KTN129","0cell","KTN1290cell436","SRR5960623","SAMN07545352","SRX3118950"
"KTN129","0cell","KTN1290cell437","SRR5960624","SAMN07545353","SRX3118949"
"KTN129","0cell","KTN1290cell152","SRR5960642","SAMN07545068","SRX3118931"
"KTN129","0cell","KTN1290cell151","SRR5960643","SAMN07545067","SRX3118930"
"KTN129","0cell","KTN1290cell158","SRR5960644","SAMN07545074","SRX3118929"
"KTN129","0cell","KTN1290cell155","SRR5960647","SAMN07545071","SRX3118926"
"KTN129","0cell","KTN1290cell94","SRR5960651","SAMN07545010","SRX3118922"
"KTN129","0cell","KTN1290cell98","SRR5960655","SAMN07545014","SRX3118918"
"KTN129","0cell","KTN1290cell477","SRR5960667","SAMN07545393","SRX3118906"
"KTN129","0cell","KTN1290cell378","SRR5960673","SAMN07545294","SRX3118900"
"KTN129","0cell","KTN1290cell379","SRR5960678","SAMN07545295","SRX3118895"
"KTN129","0cell","KTN1290cell77","SRR5960684","SAMN07544993","SRX3118889"
"KTN129","0cell","KTN1290cell74","SRR5960687","SAMN07544990","SRX3118886"
"KTN129","0cell","KTN1290cell73","SRR5960688","SAMN07544989","SRX3118885"
"KTN129","0cell","KTN1290cell72","SRR5960689","SAMN07544988","SRX3118884"
"KTN129","0cell","KTN1290cell71","SRR5960690","SAMN07544987","SRX3118883"
"KTN129","0cell","KTN1290cell291","SRR5960695","SAMN07545207","SRX3118878"
"KTN129","0cell","KTN1290cell292","SRR5960696","SAMN07545208","SRX3118877"
"KTN129","0cell","KTN1290cell116","SRR5960701","SAMN07545032","SRX3118872"
"KTN129","0cell","KTN1290cell115","SRR5960702","SAMN07545031","SRX3118871"
"KTN129","0cell","KTN1290cell111","SRR5960706","SAMN07545027","SRX3118867"
"KTN129","0cell","KTN1290cell190","SRR5960708","SAMN07545106","SRX3118865"
"KTN129","0cell","KTN1290cell181","SRR5960709","SAMN07545097","SRX3118864"
"KTN129","0cell","KTN1290cell188","SRR5960716","SAMN07545104","SRX3118857"
"KTN129","0cell","KTN1290cell205","SRR5960726","SAMN07545121","SRX3118847"
"KTN129","0cell","KTN1290cell160","SRR5960727","SAMN07545076","SRX3118846"
"KTN129","0cell","KTN1290cell334","SRR5960733","SAMN07545250","SRX3118840"
"KTN129","0cell","KTN1290cell37","SRR5960746","SAMN07544953","SRX3118827"
"KTN129","0cell","KTN1290cell36","SRR5960747","SAMN07544952","SRX3118826"
"KTN129","0cell","KTN1290cell4","SRR5960753","SAMN07544920","SRX3118820"
"KTN129","0cell","KTN1290cell3","SRR5960754","SAMN07544919","SRX3118819"
"KTN129","0cell","KTN1290cell1","SRR5960756","SAMN07544917","SRX3118817"
"KTN129","0cell","KTN1290cell5","SRR5960760","SAMN07544921","SRX3118813"
"KTN129","0cell","KTN1290cell424","SRR5960761","SAMN07545340","SRX3118812"
"KTN129","0cell","KTN1290cell423","SRR5960762","SAMN07545339","SRX3118811"
"KTN129","0cell","KTN1290cell381","SRR5960771","SAMN07545297","SRX3118802"
"KTN129","0cell","KTN1290cell248","SRR5960779","SAMN07545164","SRX3118794"
"KTN129","0cell","KTN1290cell243","SRR5960784","SAMN07545159","SRX3118789"
"KTN129","OPcell","KTN129OPcell380","SRR5967966","SAMN07553117","SRX3125625"
"KTN129","OPcell","KTN129OPcell221","SRR5967967","SAMN07552958","SRX3125624"
"KTN129","OPcell","KTN129OPcell222","SRR5967968","SAMN07552959","SRX3125623"
"KTN129","OPcell","KTN129OPcell218","SRR5967976","SAMN07552955","SRX3125615"
"KTN129","OPcell","KTN129OPcell64","SRR5967983","SAMN07552801","SRX3125608"
"KTN129","OPcell","KTN129OPcell65","SRR5967986","SAMN07552802","SRX3125605"
"KTN129","OPcell","KTN129OPcell301","SRR5967990","SAMN07553038","SRX3125601"
"KTN129","OPcell","KTN129OPcell121","SRR5968001","SAMN07552858","SRX3125590"
"KTN129","OPcell","KTN129OPcell182","SRR5968004","SAMN07552919","SRX3125587"
"KTN129","OPcell","KTN129OPcell175","SRR5968009","SAMN07552912","SRX3125582"
"KTN129","OPcell","KTN129OPcell325","SRR5968014","SAMN07553062","SRX3125577"
"KTN129","OPcell","KTN129OPcell328","SRR5968019","SAMN07553065","SRX3125572"
"KTN129","OPcell","KTN129OPcell258","SRR5968029","SAMN07552995","SRX3125562"
"KTN129","OPcell","KTN129OPcell253","SRR5968034","SAMN07552990","SRX3125557"
"KTN129","OPcell","KTN129OPcell133","SRR5968038","SAMN07552870","SRX3125553"
"KTN129","OPcell","KTN129OPcell137","SRR5968042","SAMN07552874","SRX3125549"
"KTN129","OPcell","KTN129OPcell370","SRR5968046","SAMN07553107","SRX3125545"
"KTN129","OPcell","KTN129OPcell364","SRR5968052","SAMN07553101","SRX3125539"
"KTN129","OPcell","KTN129OPcell204","SRR5968058","SAMN07552941","SRX3125533"
"KTN129","OPcell","KTN129OPcell208","SRR5968062","SAMN07552945","SRX3125529"
"KTN129","OPcell","KTN129OPcell88","SRR5968090","SAMN07552825","SRX3125501"
"KTN129","OPcell","KTN129OPcell164","SRR5968100","SAMN07552901","SRX3125491"
"KTN129","OPcell","KTN129OPcell166","SRR5968102","SAMN07552903","SRX3125489"
"KTN129","OPcell","KTN129OPcell165","SRR5968103","SAMN07552902","SRX3125488"
"KTN129","OPcell","KTN129OPcell39","SRR5968112","SAMN07552776","SRX3125479"
"KTN129","OPcell","KTN129OPcell150","SRR5968118","SAMN07552887","SRX3125473"
"KTN129","OPcell","KTN129OPcell361","SRR5968119","SAMN07553098","SRX3125472"
"KTN129","OPcell","KTN129OPcell231","SRR5968131","SAMN07552968","SRX3125460"
"KTN129","OPcell","KTN129OPcell226","SRR5968134","SAMN07552963","SRX3125457"
"KTN129","OPcell","KTN129OPcell223","SRR5968135","SAMN07552960","SRX3125456"
"KTN129","OPcell","KTN129OPcell224","SRR5968136","SAMN07552961","SRX3125455"
"KTN129","OPcell","KTN129OPcell227","SRR5968139","SAMN07552964","SRX3125452"
"KTN129","OPcell","KTN129OPcell126","SRR5968143","SAMN07552863","SRX3125448"
"KTN129","OPcell","KTN129OPcell30","SRR5968156","SAMN07552767","SRX3125435"
"KTN129","OPcell","KTN129OPcell31","SRR5968159","SAMN07552768","SRX3125432"
"KTN129","OPcell","KTN129OPcell198","SRR5968172","SAMN07552935","SRX3125419"
"KTN129","OPcell","KTN129OPcell201","SRR5968179","SAMN07552938","SRX3125412"
"KTN129","OPcell","KTN129OPcell111","SRR5968183","SAMN07552848","SRX3125408"
"KTN129","OPcell","KTN129OPcell46","SRR5968184","SAMN07552783","SRX3125407"
"KTN129","OPcell","KTN129OPcell314","SRR5968192","SAMN07553051","SRX3125399"
"KTN129","OPcell","KTN129OPcell275","SRR5968202","SAMN07553012","SRX3125389"
"KTN129","OPcell","KTN129OPcell374","SRR5968206","SAMN07553111","SRX3125385"
"KTN129","OPcell","KTN129OPcell96","SRR5968210","SAMN07552833","SRX3125381"
"KTN129","OPcell","KTN129OPcell99","SRR5968213","SAMN07552836","SRX3125378"
"KTN129","OPcell","KTN129OPcell154","SRR5968216","SAMN07552891","SRX3125375"
"KTN129","OPcell","KTN129OPcell104","SRR5968223","SAMN07552841","SRX3125368"
"KTN129","OPcell","KTN129OPcell309","SRR5968229","SAMN07553046","SRX3125362"
"KTN129","OPcell","KTN129OPcell310","SRR5968230","SAMN07553047","SRX3125361"
"KTN129","OPcell","KTN129OPcell307","SRR5968231","SAMN07553044","SRX3125360"
"KTN129","OPcell","KTN129OPcell344","SRR5968237","SAMN07553081","SRX3125354"
"KTN129","OPcell","KTN129OPcell345","SRR5968240","SAMN07553082","SRX3125351"
"KTN129","OPcell","KTN129OPcell242","SRR5968243","SAMN07552979","SRX3125348"
"KTN129","OPcell","KTN129OPcell241","SRR5968244","SAMN07552978","SRX3125347"
"KTN129","OPcell","KTN129OPcell101","SRR5968253","SAMN07552838","SRX3125338"
"KTN129","OPcell","KTN129OPcell286","SRR5968264","SAMN07553023","SRX3125327"
"KTN129","OPcell","KTN129OPcell386","SRR5968267","SAMN07553123","SRX3125324"
"KTN129","OPcell","KTN129OPcell385","SRR5968268","SAMN07553122","SRX3125323"
"KTN129","OPcell","KTN129OPcell387","SRR5968270","SAMN07553124","SRX3125321"
"KTN129","OPcell","KTN129OPcell390","SRR5968271","SAMN07553127","SRX3125320"
"KTN129","OPcell","KTN129OPcell185","SRR5968282","SAMN07552922","SRX3125309"
"KTN129","OPcell","KTN129OPcell183","SRR5968284","SAMN07552920","SRX3125307"
"KTN129","OPcell","KTN129OPcell192","SRR5968289","SAMN07552929","SRX3125302"
"KTN129","OPcell","KTN129OPcell337","SRR5968301","SAMN07553074","SRX3125675"
"KTN129","OPcell","KTN129OPcell339","SRR5968303","SAMN07553076","SRX3125673"
"KTN129","OPcell","KTN129OPcell336","SRR5968308","SAMN07553073","SRX3125668"
"KTN129","OPcell","KTN129OPcell341","SRR5968309","SAMN07553078","SRX3125667"
"KTN129","OPcell","KTN129OPcell342","SRR5968310","SAMN07553079","SRX3125666"
"KTN129","OPcell","KTN129OPcell245","SRR5968313","SAMN07552982","SRX3125663"
"KTN129","OPcell","KTN129OPcell148","SRR5968328","SAMN07552885","SRX3125648"
"KTN129","OPcell","KTN129OPcell147","SRR5968329","SAMN07552884","SRX3125647"
"KTN129","OPcell","KTN129OPcell145","SRR5968331","SAMN07552882","SRX3125645"
"KTN129","OPcell","KTN129OPcell144","SRR5968332","SAMN07552881","SRX3125644"
"KTN129","OPcell","KTN129OPcell143","SRR5968333","SAMN07552880","SRX3125643"
"KTN129","OPcell","KTN129OPcell322","SRR5968344","SAMN07553059","SRX3125632"
"KTN129","OPcell","KTN129OPcell375","SRR5968346","SAMN07553112","SRX3125630"
"KTN129","OPcell","KTN129OPcell377","SRR5968348","SAMN07553114","SRX3125628"
"KTN206","OPcell","KTN206OPcell377","SRR7750987","SAMN09909465","SRX4607269"
"KTN206","OPcell","KTN206OPcell373","SRR7750991","SAMN09909461","SRX4607265"
"KTN206","OPcell","KTN206OPcell340","SRR7750995","SAMN09909428","SRX4607261"
"KTN206","OPcell","KTN206OPcell337","SRR7750998","SAMN09909425","SRX4607258"
"KTN206","OPcell","KTN206OPcell198","SRR7751008","SAMN09909286","SRX4607248"
"KTN206","OPcell","KTN206OPcell199","SRR7751009","SAMN09909287","SRX4607247"
"KTN206","OPcell","KTN206OPcell294","SRR7751025","SAMN09909382","SRX4607231"
"KTN206","OPcell","KTN206OPcell237","SRR7751035","SAMN09909325","SRX4607221"
"KTN206","OPcell","KTN206OPcell239","SRR7751037","SAMN09909327","SRX4607219"
"KTN206","OPcell","KTN206OPcell172","SRR7751046","SAMN09909260","SRX4607210"
"KTN206","OPcell","KTN206OPcell171","SRR7751047","SAMN09909259","SRX4607209"
"KTN206","OPcell","KTN206OPcell163","SRR7751051","SAMN09909251","SRX4607205"
"KTN206","OPcell","KTN206OPcell169","SRR7751053","SAMN09909257","SRX4607203"
"KTN206","OPcell","KTN206OPcell168","SRR7751054","SAMN09909256","SRX4607202"
"KTN206","OPcell","KTN206OPcell400","SRR7751057","SAMN09909488","SRX4607199"
"KTN206","OPcell","KTN206OPcell259","SRR7751061","SAMN09909347","SRX4607195"
"KTN206","OPcell","KTN206OPcell96","SRR7751071","SAMN09909184","SRX4607185"
"KTN206","OPcell","KTN206OPcell94","SRR7751073","SAMN09909182","SRX4607183"
"KTN206","OPcell","KTN206OPcell101","SRR7751078","SAMN09909189","SRX4607178"
"KTN206","OPcell","KTN206OPcell388","SRR7751086","SAMN09909476","SRX4607170"
"KTN206","OPcell","KTN206OPcell391","SRR7751089","SAMN09909479","SRX4607167"
"KTN206","OPcell","KTN206OPcell84","SRR7751096","SAMN09909172","SRX4607160"
"KTN206","OPcell","KTN206OPcell212","SRR7751100","SAMN09909300","SRX4607156"
"KTN206","OPcell","KTN206OPcell210","SRR7751102","SAMN09909298","SRX4607154"
"KTN206","OPcell","KTN206OPcell208","SRR7751104","SAMN09909296","SRX4607152"
"KTN206","OPcell","KTN206OPcell206","SRR7751106","SAMN09909294","SRX4607150"
"KTN206","OPcell","KTN206OPcell204","SRR7751108","SAMN09909292","SRX4607148"
"KTN206","OPcell","KTN206OPcell429","SRR7751111","SAMN09909517","SRX4607145"
"KTN206","OPcell","KTN206OPcell428","SRR7751112","SAMN09909516","SRX4607144"
"KTN206","OPcell","KTN206OPcell330","SRR7751119","SAMN09909418","SRX4607137"
"KTN206","OPcell","KTN206OPcell130","SRR7751142","SAMN09909218","SRX4607114"
"KTN206","OPcell","KTN206OPcell251","SRR7751156","SAMN09909339","SRX4607100"
"KTN206","OPcell","KTN206OPcell176","SRR7751162","SAMN09909264","SRX4607094"
"KTN206","OPcell","KTN206OPcell182","SRR7751166","SAMN09909270","SRX4607090"
"KTN206","OPcell","KTN206OPcell286","SRR7751168","SAMN09909374","SRX4607088"
"KTN206","OPcell","KTN206OPcell283","SRR7751169","SAMN09909371","SRX4607087"
"KTN206","OPcell","KTN206OPcell287","SRR7751173","SAMN09909375","SRX4607083"
"KTN206","OPcell","KTN206OPcell431","SRR7751180","SAMN09909519","SRX4607076"
"KTN206","OPcell","KTN206OPcell355","SRR7751187","SAMN09909443","SRX4607069"
"KTN206","OPcell","KTN206OPcell356","SRR7751188","SAMN09909444","SRX4607068"
"KTN206","OPcell","KTN206OPcell353","SRR7751189","SAMN09909441","SRX4607067"
"KTN206","OPcell","KTN206OPcell74","SRR7751192","SAMN09909162","SRX4607064"
"KTN206","OPcell","KTN206OPcell78","SRR7751196","SAMN09909166","SRX4607060"
"KTN206","OPcell","KTN206OPcell215","SRR7751203","SAMN09909303","SRX4607053"
"KTN206","OPcell","KTN206OPcell213","SRR7751205","SAMN09909301","SRX4607051"
"KTN206","OPcell","KTN206OPcell148","SRR7751211","SAMN09909236","SRX4607045"
"KTN206","OPcell","KTN206OPcell147","SRR7751212","SAMN09909235","SRX4607044"
"KTN206","OPcell","KTN206OPcell149","SRR7751214","SAMN09909237","SRX4607042"
"KTN206","OPcell","KTN206OPcell144","SRR7751215","SAMN09909232","SRX4607041"
"KTN206","OPcell","KTN206OPcell345","SRR7751223","SAMN09909433","SRX4607033"
"KTN206","OPcell","KTN206OPcell395","SRR7751231","SAMN09909483","SRX4607025"
"KTN206","OPcell","KTN206OPcell316","SRR7751245","SAMN09909404","SRX4607011"
"KTN206","OPcell","KTN206OPcell117","SRR7751247","SAMN09909205","SRX4607009"
"KTN206","OPcell","KTN206OPcell120","SRR7751250","SAMN09909208","SRX4607006"
"KTN206","OPcell","KTN206OPcell114","SRR7751252","SAMN09909202","SRX4607004"
"KTN206","OPcell","KTN206OPcell115","SRR7751253","SAMN09909203","SRX4607003"
"KTN206","OPcell","KTN206OPcell121","SRR7751255","SAMN09909209","SRX4607001"
"KTN206","OPcell","KTN206OPcell122","SRR7751256","SAMN09909210","SRX4607000"
"KTN206","OPcell","KTN206OPcell190","SRR7751259","SAMN09909278","SRX4606997"
"KTN206","OPcell","KTN206OPcell192","SRR7751265","SAMN09909280","SRX4606991"
"KTN206","OPcell","KTN206OPcell277","SRR7751272","SAMN09909365","SRX4606984"
"KTN206","OPcell","KTN206OPcell279","SRR7751274","SAMN09909367","SRX4606982"
"KTN206","OPcell","KTN206OPcell281","SRR7751276","SAMN09909369","SRX4606980"
"KTN206","OPcell","KTN206OPcell369","SRR7751282","SAMN09909457","SRX4606974"
"KTN206","OPcell","KTN206OPcell307","SRR7751287","SAMN09909395","SRX4606969"
"KTN206","OPcell","KTN206OPcell309","SRR7751289","SAMN09909397","SRX4606967"
"KTN206","OPcell","KTN206OPcell310","SRR7751290","SAMN09909398","SRX4606966"
"KTN206","OPcell","KTN206OPcell305","SRR7751293","SAMN09909393","SRX4606963"
"KTN206","OPcell","KTN206OPcell306","SRR7751294","SAMN09909394","SRX4606962"
"KTN206","OPcell","KTN206OPcell72","SRR7751297","SAMN09909160","SRX4606959"
"KTN206","OPcell","KTN206OPcell224","SRR7751309","SAMN09909312","SRX4606947"
"KTN206","OPcell","KTN206OPcell225","SRR7751312","SAMN09909313","SRX4606944"
"KTN206","OPcell","KTN206OPcell230","SRR7751315","SAMN09909318","SRX4606941"
"KTN206","OPcell","KTN206OPcell229","SRR7751316","SAMN09909317","SRX4606940"
"KTN206","OPcell","KTN206OPcell137","SRR7751321","SAMN09909225","SRX4606935"
"KTN206","OPcell","KTN206OPcell136","SRR7751324","SAMN09909224","SRX4606932"
"KTN206","OPcell","KTN206OPcell160","SRR7751334","SAMN09909248","SRX4606922"
"KTN206","OPcell","KTN206OPcell153","SRR7751335","SAMN09909241","SRX4606921"
"KTN206","OPcell","KTN206OPcell411","SRR7751340","SAMN09909499","SRX4606916"
"KTN206","OPcell","KTN206OPcell271","SRR7751341","SAMN09909359","SRX4606915"
"KTN206","OPcell","KTN206OPcell410","SRR7751347","SAMN09909498","SRX4606909"
"KTN206","OPcell","KTN206OPcell409","SRR7751348","SAMN09909497","SRX4606908"
"KTN206","OPcell","KTN206OPcell265","SRR7751351","SAMN09909353","SRX4606905"
"KTN206","OPcell","KTN206OPcell270","SRR7751356","SAMN09909358","SRX4606900"
"KTN206","0cell","KTN2060cell188","SRR7753336","SAMN09910906","SRX4609595"
"KTN206","0cell","KTN2060cell186","SRR7753338","SAMN09910904","SRX4609593"
"KTN206","0cell","KTN2060cell325","SRR7753343","SAMN09911043","SRX4609588"
"KTN206","0cell","KTN2060cell96","SRR7753349","SAMN09910814","SRX4609582"
"KTN206","0cell","KTN2060cell329","SRR7753355","SAMN09911047","SRX4609576"
"KTN206","0cell","KTN2060cell160","SRR7753358","SAMN09910878","SRX4609573"
"KTN206","0cell","KTN2060cell158","SRR7753366","SAMN09910876","SRX4609565"
"KTN206","0cell","KTN2060cell400","SRR7753370","SAMN09911118","SRX4609561"
"KTN206","0cell","KTN2060cell393","SRR7753375","SAMN09911111","SRX4609556"
"KTN206","0cell","KTN2060cell392","SRR7753378","SAMN09911110","SRX4609553"
"KTN206","0cell","KTN2060cell420","SRR7753383","SAMN09911138","SRX4609548"
"KTN206","0cell","KTN2060cell419","SRR7753384","SAMN09911137","SRX4609547"
"KTN206","0cell","KTN2060cell417","SRR7753389","SAMN09911135","SRX4609542"
"KTN206","0cell","KTN2060cell444","SRR7753395","SAMN09911162","SRX4609536"
"KTN206","0cell","KTN2060cell299","SRR7753401","SAMN09911017","SRX4609530"
"KTN206","0cell","KTN2060cell51","SRR7753405","SAMN09910769","SRX4609526"
"KTN206","0cell","KTN2060cell212","SRR7753421","SAMN09910930","SRX4609510"
"KTN206","0cell","KTN2060cell211","SRR7753422","SAMN09910929","SRX4609509"
"KTN206","0cell","KTN2060cell357","SRR7753423","SAMN09911075","SRX4609508"
"KTN206","0cell","KTN2060cell358","SRR7753424","SAMN09911076","SRX4609507"
"KTN206","0cell","KTN2060cell356","SRR7753426","SAMN09911074","SRX4609505"
"KTN206","0cell","KTN2060cell278","SRR7753433","SAMN09910996","SRX4609498"
"KTN206","0cell","KTN2060cell277","SRR7753439","SAMN09910995","SRX4609492"
"KTN206","0cell","KTN2060cell105","SRR7753440","SAMN09910823","SRX4609491"
"KTN206","OPcell","KTN206OPcell12","SRR7753441","SAMN09911178","SRX4609490"
"KTN206","0cell","KTN2060cell109","SRR7753444","SAMN09910827","SRX4609487"
"KTN206","0cell","KTN2060cell426","SRR7753446","SAMN09911144","SRX4609485"
"KTN206","0cell","KTN2060cell427","SRR7753447","SAMN09911145","SRX4609484"
"KTN206","0cell","KTN2060cell423","SRR7753451","SAMN09911141","SRX4609480"
"KTN206","0cell","KTN2060cell17","SRR7753458","SAMN09910735","SRX4609473"
"KTN206","0cell","KTN2060cell12","SRR7753461","SAMN09910730","SRX4609470"
"KTN206","0cell","KTN2060cell230","SRR7753468","SAMN09910948","SRX4609463"
"KTN206","0cell","KTN2060cell315","SRR7753476","SAMN09911033","SRX4609455"
"KTN206","0cell","KTN2060cell320","SRR7753479","SAMN09911038","SRX4609452"
"KTN206","0cell","KTN2060cell446","SRR7753480","SAMN09911164","SRX4609451"
"KTN206","0cell","KTN2060cell148","SRR7753481","SAMN09910866","SRX4609450"
"KTN206","0cell","KTN2060cell146","SRR7753483","SAMN09910864","SRX4609448"
"KTN206","0cell","KTN2060cell143","SRR7753486","SAMN09910861","SRX4609445"
"KTN206","0cell","KTN2060cell141","SRR7753488","SAMN09910859","SRX4609443"
"KTN206","0cell","KTN2060cell268","SRR7753490","SAMN09910986","SRX4609441"
"KTN206","0cell","KTN2060cell149","SRR7753496","SAMN09910867","SRX4609435"
"KTN206","0cell","KTN2060cell381","SRR7753500","SAMN09911099","SRX4609431"
"KTN206","0cell","KTN2060cell385","SRR7753504","SAMN09911103","SRX4609427"
"KTN206","0cell","KTN2060cell388","SRR7753505","SAMN09911106","SRX4609426"
"KTN206","OPcell","KTN206OPcell14","SRR7753510","SAMN09911180","SRX4609421"
"KTN206","OPcell","KTN206OPcell15","SRR7753511","SAMN09911181","SRX4609420"
"KTN206","0cell","KTN2060cell10","SRR7753529","SAMN09910728","SRX4609402"
"KTN206","0cell","KTN2060cell70","SRR7753530","SAMN09910788","SRX4609401"
"KTN206","0cell","KTN2060cell66","SRR7753532","SAMN09910784","SRX4609399"
"KTN206","0cell","KTN2060cell67","SRR7753535","SAMN09910785","SRX4609396"
"KTN206","0cell","KTN2060cell350","SRR7753544","SAMN09911068","SRX4609387"
"KTN206","0cell","KTN2060cell346","SRR7753548","SAMN09911064","SRX4609383"
"KTN206","0cell","KTN2060cell342","SRR7753552","SAMN09911060","SRX4609379"
"KTN206","0cell","KTN2060cell344","SRR7753554","SAMN09911062","SRX4609377"
"KTN206","0cell","KTN2060cell343","SRR7753555","SAMN09911061","SRX4609376"
"KTN206","0cell","KTN2060cell139","SRR7753556","SAMN09910857","SRX4609375"
"KTN206","0cell","KTN2060cell134","SRR7753563","SAMN09910852","SRX4609368"
"KTN206","0cell","KTN2060cell131","SRR7753564","SAMN09910849","SRX4609367"
"KTN206","OPcell","KTN206OPcell35","SRR7753570","SAMN09911201","SRX4609361"
"KTN206","0cell","KTN2060cell24","SRR7753591","SAMN09910742","SRX4609340"
"KTN206","0cell","KTN2060cell23","SRR7753592","SAMN09910741","SRX4609339"
"KTN206","0cell","KTN2060cell25","SRR7753594","SAMN09910743","SRX4609337"
"KTN206","0cell","KTN2060cell30","SRR7753597","SAMN09910748","SRX4609334"
"KTN206","0cell","KTN2060cell308","SRR7753607","SAMN09911026","SRX4609324"
"KTN206","0cell","KTN2060cell351","SRR7753611","SAMN09911069","SRX4609320"
"KTN206","0cell","KTN2060cell172","SRR7753616","SAMN09910890","SRX4609315"
"KTN206","0cell","KTN2060cell280","SRR7753617","SAMN09910998","SRX4609314"
"KTN206","0cell","KTN2060cell180","SRR7753624","SAMN09910898","SRX4609307"
"KTN206","0cell","KTN2060cell375","SRR7753629","SAMN09911093","SRX4609302"
"KTN206","0cell","KTN2060cell377","SRR7753631","SAMN09911095","SRX4609300"
"KTN206","0cell","KTN2060cell379","SRR7753637","SAMN09911097","SRX4609294"
"KTN206","OPcell","KTN206OPcell30","SRR7753641","SAMN09911196","SRX4609290"
"KTN206","0cell","KTN2060cell284","SRR7753654","SAMN09911002","SRX4609277"
"KTN206","0cell","KTN2060cell286","SRR7753656","SAMN09911004","SRX4609275"
"KTN206","0cell","KTN2060cell94","SRR7753661","SAMN09910812","SRX4609270"
"KTN206","0cell","KTN2060cell200","SRR7753666","SAMN09910918","SRX4609265"
"KTN206","0cell","KTN2060cell79","SRR7753675","SAMN09910797","SRX4609756"
"KTN206","0cell","KTN2060cell77","SRR7753685","SAMN09910795","SRX4609746"
"KTN206","0cell","KTN2060cell238","SRR7753692","SAMN09910956","SRX4609739"
"KTN206","0cell","KTN2060cell331","SRR7753694","SAMN09911049","SRX4609737"
"KTN206","0cell","KTN2060cell84","SRR7753702","SAMN09910802","SRX4609729"
"KTN206","0cell","KTN2060cell81","SRR7753705","SAMN09910799","SRX4609726"
"KTN206","0cell","KTN2060cell87","SRR7753707","SAMN09910805","SRX4609724"
"KTN206","0cell","KTN2060cell86","SRR7753708","SAMN09910804","SRX4609723"
"KTN206","0cell","KTN2060cell85","SRR7753709","SAMN09910803","SRX4609722"
"KTN206","0cell","KTN2060cell90","SRR7753710","SAMN09910808","SRX4609721"
