"clinical_id","alias_code","sample_alias","run_accession","sample_accession","experiment_accession"
"KTN126","0cell","KTN1260cell149","SRR5960127","SAMN07544567","SRX3118314"
"KTN126","0cell","KTN1260cell10","SRR5960137","SAMN07544428","SRX3118304"
"KTN126","OPcell","KTN126OPcell242","SRR5960143","SAMN07544914","SRX3118298"
"KTN126","0cell","KTN1260cell211","SRR5960150","SAMN07544629","SRX3118291"
"KTN126","0cell","KTN1260cell215","SRR5960154","SAMN07544633","SRX3118287"
"KTN126","OPcell","KTN126OPcell111","SRR5960168","SAMN07544783","SRX3118273"
"KTN126","OPcell","KTN126OPcell116","SRR5960177","SAMN07544788","SRX3118264"
"KTN126","0cell","KTN1260cell103","SRR5960178","SAMN07544521","SRX3118263"
"KTN126","0cell","KTN1260cell109","SRR5960186","SAMN07544527","SRX3118255"
"KTN126","0cell","KTN1260cell39","SRR5960191","SAMN07544457","SRX3118250"
"KTN126","0cell","KTN1260cell31","SRR5960193","SAMN07544449","SRX3118248"
"KTN126","0cell","KTN1260cell33","SRR5960195","SAMN07544451","SRX3118246"
"KTN126","0cell","KTN1260cell36","SRR5960196","SAMN07544454","SRX3118245"
"KTN126","0cell","KTN1260cell193","SRR5960207","SAMN07544611","SRX3118234"
"KTN126","OPcell","KTN126OPcell140","SRR5960216","SAMN07544812","SRX3118225"
"KTN126","OPcell","KTN126OPcell75","SRR5959724","SAMN07544747","SRX3118219"
"KTN126","OPcell","KTN126OPcell221","SRR5959746","SAMN07544893","SRX3118197"
"KTN126","OPcell","KTN126OPcell220","SRR5959749","SAMN07544892","SRX3118194"
"KTN126","OPcell","KTN126OPcell217","SRR5959750","SAMN07544889","SRX3118193"
"KTN126","0cell","KTN1260cell67","SRR5959754","SAMN07544485","SRX3118189"
"KTN126","0cell","KTN1260cell68","SRR5959755","SAMN07544486","SRX3118188"
"KTN126","0cell","KTN1260cell66","SRR5959757","SAMN07544484","SRX3118186"
"KTN126","0cell","KTN1260cell63","SRR5959758","SAMN07544481","SRX3118185"
"KTN126","OPcell","KTN126OPcell40","SRR5959775","SAMN07544712","SRX3118168"
"KTN126","OPcell","KTN126OPcell41","SRR5959780","SAMN07544713","SRX3118163"
"KTN126","OPcell","KTN126OPcell42","SRR5959781","SAMN07544714","SRX3118162"
"KTN126","OPcell","KTN126OPcell45","SRR5959782","SAMN07544717","SRX3118161"
"KTN126","OPcell","KTN126OPcell236","SRR5959792","SAMN07544908","SRX3118151"
"KTN126","OPcell","KTN126OPcell235","SRR5959793","SAMN07544907","SRX3118150"
"KTN126","0cell","KTN1260cell202","SRR5959798","SAMN07544620","SRX3118145"
"KTN126","0cell","KTN1260cell203","SRR5959801","SAMN07544621","SRX3118142"
"KTN126","OPcell","KTN126OPcell186","SRR5959807","SAMN07544858","SRX3118136"
"KTN126","OPcell","KTN126OPcell179","SRR5959808","SAMN07544851","SRX3118135"
"KTN126","OPcell","KTN126OPcell177","SRR5959810","SAMN07544849","SRX3118133"
"KTN126","OPcell","KTN126OPcell183","SRR5959812","SAMN07544855","SRX3118131"
"KTN126","OPcell","KTN126OPcell184","SRR5959813","SAMN07544856","SRX3118130"
"KTN126","OPcell","KTN126OPcell121","SRR5959817","SAMN07544793","SRX3118126"
"KTN126","OPcell","KTN126OPcell21","SRR5959824","SAMN07544693","SRX3118119"
"KTN126","OPcell","KTN126OPcell18","SRR5959829","SAMN07544690","SRX3118114"
"KTN126","0cell","KTN1260cell56","SRR5959836","SAMN07544474","SRX3118107"
"KTN126","0cell","KTN1260cell53","SRR5959839","SAMN07544471","SRX3118104"
"KTN126","0cell","KTN1260cell113","SRR5959845","SAMN07544531","SRX3118098"
"KTN126","0cell","KTN1260cell118","SRR5959848","SAMN07544536","SRX3118095"
"KTN126","0cell","KTN1260cell23","SRR5959854","SAMN07544441","SRX3118089"
"KTN126","0cell","KTN1260cell1","SRR5959868","SAMN07544419","SRX3118075"
"KTN126","0cell","KTN1260cell6","SRR5959871","SAMN07544424","SRX3118072"
"KTN126","0cell","KTN1260cell5","SRR5959872","SAMN07544423","SRX3118071"
"KTN126","0cell","KTN1260cell7","SRR5959874","SAMN07544425","SRX3118069"
"KTN126","0cell","KTN1260cell165","SRR5959875","SAMN07544583","SRX3118068"
"KTN126","0cell","KTN1260cell170","SRR5959885","SAMN07544588","SRX3118058"
"KTN126","0cell","KTN1260cell231","SRR5959897","SAMN07544649","SRX3118046"
"KTN126","0cell","KTN1260cell233","SRR5959899","SAMN07544651","SRX3118044"
"KTN126","0cell","KTN1260cell239","SRR5959905","SAMN07544657","SRX3118038"
"KTN126","OPcell","KTN126OPcell211","SRR5959908","SAMN07544883","SRX3118035"
"KTN126","OPcell","KTN126OPcell210","SRR5959913","SAMN07544882","SRX3118030"
"KTN126","0cell","KTN1260cell12","SRR5959919","SAMN07544430","SRX3118024"
"KTN126","OPcell","KTN126OPcell96","SRR5959928","SAMN07544768","SRX3118015"
"KTN126","OPcell","KTN126OPcell91","SRR5959929","SAMN07544763","SRX3118014"
"KTN126","OPcell","KTN126OPcell87","SRR5959933","SAMN07544759","SRX3118010"
"KTN126","OPcell","KTN126OPcell88","SRR5959934","SAMN07544760","SRX3118009"
"KTN126","OPcell","KTN126OPcell90","SRR5959936","SAMN07544762","SRX3118007"
"KTN126","0cell","KTN1260cell130","SRR5959939","SAMN07544548","SRX3118004"
"KTN126","0cell","KTN1260cell121","SRR5959940","SAMN07544539","SRX3118003"
"KTN126","0cell","KTN1260cell125","SRR5959944","SAMN07544543","SRX3117999"
"KTN126","0cell","KTN1260cell127","SRR5959946","SAMN07544545","SRX3117997"
"KTN126","OPcell","KTN126OPcell28","SRR5959948","SAMN07544700","SRX3117995"
"KTN126","OPcell","KTN126OPcell34","SRR5959954","SAMN07544706","SRX3117989"
"KTN126","OPcell","KTN126OPcell35","SRR5959957","SAMN07544707","SRX3117986"
"KTN126","OPcell","KTN126OPcell176","SRR5959958","SAMN07544848","SRX3117985"
"KTN126","OPcell","KTN126OPcell175","SRR5959959","SAMN07544847","SRX3117984"
"KTN126","OPcell","KTN126OPcell171","SRR5959965","SAMN07544843","SRX3117978"
"KTN126","OPcell","KTN126OPcell47","SRR5959968","SAMN07544719","SRX3117975"
"KTN126","OPcell","KTN126OPcell48","SRR5959969","SAMN07544720","SRX3117974"
"KTN126","OPcell","KTN126OPcell16","SRR5959970","SAMN07544688","SRX3117973"
"KTN126","OPcell","KTN126OPcell52","SRR5959973","SAMN07544724","SRX3117970"
"KTN126","OPcell","KTN126OPcell11","SRR5959983","SAMN07544683","SRX3117960"
"KTN126","OPcell","KTN126OPcell206","SRR5959985","SAMN07544878","SRX3117958"
"KTN126","OPcell","KTN126OPcell203","SRR5959988","SAMN07544875","SRX3117955"
"KTN126","0cell","KTN1260cell49","SRR5959994","SAMN07544467","SRX3117949"
"KTN126","0cell","KTN1260cell43","SRR5959998","SAMN07544461","SRX3117945"
"KTN126","0cell","KTN1260cell44","SRR5959999","SAMN07544462","SRX3117944"
"KTN126","0cell","KTN1260cell175","SRR5960011","SAMN07544593","SRX3117932"
"KTN126","0cell","KTN1260cell96","SRR5960018","SAMN07544514","SRX3117925"
"KTN126","0cell","KTN1260cell230","SRR5960023","SAMN07544648","SRX3117920"
"KTN126","0cell","KTN1260cell228","SRR5960025","SAMN07544646","SRX3117918"
"KTN126","OPcell","KTN126OPcell159","SRR5960035","SAMN07544831","SRX3117908"
"KTN126","OPcell","KTN126OPcell15","SRR5960044","SAMN07544687","SRX3117899"
"KTN126","0cell","KTN1260cell137","SRR5960058","SAMN07544555","SRX3118383"
"KTN126","0cell","KTN1260cell136","SRR5960059","SAMN07544554","SRX3118382"
"KTN126","0cell","KTN1260cell135","SRR5960060","SAMN07544553","SRX3118381"
"KTN126","0cell","KTN1260cell133","SRR5960062","SAMN07544551","SRX3118379"
"KTN126","0cell","KTN1260cell187","SRR5960073","SAMN07544605","SRX3118368"
"KTN126","OPcell","KTN126OPcell128","SRR5960080","SAMN07544800","SRX3118361"
"KTN126","OPcell","KTN126OPcell129","SRR5960081","SAMN07544801","SRX3118360"
"KTN126","OPcell","KTN126OPcell66","SRR5960087","SAMN07544738","SRX3118354"
"KTN126","OPcell","KTN126OPcell63","SRR5960090","SAMN07544735","SRX3118351"
"KTN126","OPcell","KTN126OPcell58","SRR5960095","SAMN07544730","SRX3118346"
"KTN126","OPcell","KTN126OPcell1","SRR5960099","SAMN07544673","SRX3118342"
"KTN126","OPcell","KTN126OPcell190","SRR5960109","SAMN07544862","SRX3118332"
"KTN126","OPcell","KTN126OPcell192","SRR5960115","SAMN07544864","SRX3118326"
"KTN126","0cell","KTN1260cell77","SRR5960120","SAMN07544495","SRX3118321"
"KTN126","0cell","KTN1260cell73","SRR5960124","SAMN07544491","SRX3118317"
"KTN126","0cell","KTN1260cell79","SRR5960126","SAMN07544497","SRX3118315"
"KTN126","0cell","KTN1260cell144","SRR5960134","SAMN07544562","SRX3118307"
"KTN126","0cell","KTN1260cell142","SRR5960136","SAMN07544560","SRX3118305"
"KTN126","0cell","KTN1260cell219","SRR5960146","SAMN07544637","SRX3118295"
"KTN126","0cell","KTN1260cell214","SRR5960149","SAMN07544632","SRX3118292"
