dataset_id,run_accession,experiment_accession,sample_accession,biosample_accession,sample_alias,patient_id,biopsy_id,timepoint_id,timepoint_label,treatment,biological_time_value,biological_time_unit,biological_time_anchor,biological_time_source,biological_time_evidence,sequencing_date,run_date,malignant_compartment,clone_information,provenance,access_status
SRP114962,SRR7750980,SRX4607276,SAMN09909196,SAMN09909196,KTN206OPcell108,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ENA filereport API; sample record inspected,PUBLIC
SRP114962,SRR7750981,SRX4607275,SAMN09909195,SAMN09909195,KTN206OPcell107,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ENA filereport API; sample record inspected,PUBLIC
SRP114962,SRR7750986,SRX4607270,SAMN09909424,SAMN09909424,KTN206OPcell336,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ENA filereport API; sample record inspected,PUBLIC
