score,mean_delta,n_patients
proliferation,-0.80558449460642,3
EMT,1.83993012994578,3
hypoxia,-0.256599802262558,3
interferon,2.27724245807463,3
MYC,-0.783963825974066,3
mTOR,-0.471385228452799,3
angiogenesis,0.285999397508086,3
resistance,-0.186770355902791,3
