state_id,GSE246613,ARTEMIS,WU_GSE176078,KARAAYVAZ_GSE118389,PAL_GSE161529
State_01,INDETERMINADO,PRESENTE,PRESENTE,PRESENTE,INDETERMINADO
State_02,PRESENTE,PRESENTE,PRESENTE,INDETERMINADO,INDETERMINADO
State_03,INDETERMINADO,PRESENTE,PRESENTE,INDETERMINADO,INDETERMINADO
State_04,INDETERMINADO,PRESENTE,PRESENTE,INDETERMINADO,INDETERMINADO
