state_id,n_construction_cohorts,construction_cohorts,members,top_20_genes,median_stability,robust_construction,pal_validation,atlas_confidence
State_01,3,ARTEMIS;KARAAYVAZ_GSE118389;WU_GSE176078,ARTEMIS_C01;WU_GSE176078_C03;KARAAYVAZ_GSE118389_C04,MGP;VIM;TUBA1A;FOS;CALD1;TACSTD2;JUNB;KRT19;CCND1;SFRP1;JUN;KRT15;NCOA7;GABRP;PPP1R15A;NDRG2;DUSP1;ANXA1;NR4A1;EGR1,0.864921,True,INDETERMINADO,BAIXA
State_02,3,ARTEMIS;GSE246613;WU_GSE176078,GSE246613_P08;ARTEMIS_C04;WU_GSE176078_C05,S100A6;HLA-B;HLA-A;RARRES1;KRT19;SAA1;IFI27;TACSTD2;S100A16;CD74;SLPI;MGP;MMP7;S100A14;BST2;HLA-DRA;PDZK1IP1;ANXA1;CALML5;WFDC2,0.864921,False,INDETERMINADO,BAIXA
State_03,2,ARTEMIS;WU_GSE176078,ARTEMIS_C03;WU_GSE176078_C08,HLA-B;IFI27;HLA-A;IFITM3;LDHB;S100A6;CD74;VIM;BST2;MT2A;NEAT1;MDK;CYBA;JUN;HLA-DRB1;PSMB9;MGP;HLA-DRA;CKS2;CALD1,0.858722,False,INDETERMINADO,BAIXA
State_04,2,ARTEMIS;WU_GSE176078,ARTEMIS_C05;WU_GSE176078_C06,MUCL1;AZGP1;NEAT1;JUN;KRT19;JUNB;FOS;KLF6;SELENOP;IER2;RHOB;CLDN3;ZFP36;APOD;ATF3;FOSB;DNAJB1;SAT1;SCD;TACSTD2,0.858722,False,INDETERMINADO,BAIXA
