cell_id,PC1,PC2,PC3,PC4,run_accession,clinical_id,candidate_timepoint,timepoint_confidence,sample_alias,cluster
KTN132__KTN1320cell71,23.0609970009205,2.37954136398014,-0.978858375376462,0.0801889208042477,SRR5967478,KTN132,pre_candidate,medium,KTN1320cell71,C4
KTN132__KTN1320cell72,23.1362257399147,1.75483645326375,0.378541189408929,-0.185481732702442,SRR5967479,KTN132,pre_candidate,medium,KTN1320cell72,C4
KTN132__KTN1320cell73,23.9392367313199,-1.23917141176559,2.42846103310951,-2.90933286651143,SRR5967480,KTN132,pre_candidate,medium,KTN1320cell73,C4
KTN132__KTN1320cell74,22.9711460761043,-0.832566720966136,1.78741294359852,-5.26002183918026,SRR5967481,KTN132,pre_candidate,medium,KTN1320cell74,C4
KTN132__KTN1320cell75,23.2861655857158,-1.80377844673506,-0.432818079640945,-5.14874941199687,SRR5967482,KTN132,pre_candidate,medium,KTN1320cell75,C4
KTN132__KTN1320cell76,21.866365889288,4.52492529852555,1.25823260742589,-2.67694348845988,SRR5967483,KTN132,pre_candidate,medium,KTN1320cell76,C4
KTN132__KTN1320cell77,21.9717860769307,2.82954826553275,-0.594704285635159,-2.69947811867689,SRR5967484,KTN132,pre_candidate,medium,KTN1320cell77,C4
KTN132__KTN1320cell78,25.0681809623824,1.32141154726877,1.0788176761913,-6.35223408393595,SRR5967485,KTN132,pre_candidate,medium,KTN1320cell78,C4
KTN132__KTN1320cell79,23.1902981381921,0.982627707543786,-0.628345351315539,-0.221265145753407,SRR5967486,KTN132,pre_candidate,medium,KTN1320cell79,C4
KTN132__KTN1320cell80,22.0480164648631,3.41036519099763,-0.461727158794598,-1.60480216981658,SRR5967487,KTN132,pre_candidate,medium,KTN1320cell80,C4
KTN302__KTN3020cell111,-20.4109595369418,13.6377777656361,2.76245014309236,-1.85954836936879,SRR5968377,KTN302,pre_candidate,medium,KTN3020cell111,C2
KTN302__KTN3020cell112,-17.6332135329798,13.3909925678466,1.97766724721127,-3.4206561085044,SRR5968378,KTN302,pre_candidate,medium,KTN3020cell112,C2
KTN302__KTN3020cell300,-18.7556951993667,13.2460533860503,3.05884214258006,-3.36201954594626,SRR5968379,KTN302,pre_candidate,medium,KTN3020cell300,C2
KTN302__KTN3020cell299,-19.2892976202472,12.9575320523312,3.42149131438915,-2.7434544901446,SRR5968380,KTN302,pre_candidate,medium,KTN3020cell299,C2
KTN302__KTN3020cell115,-18.754841618963,13.5273203469658,3.28883715990715,-2.98579224433567,SRR5968381,KTN302,pre_candidate,medium,KTN3020cell115,C2
KTN302__KTN3020cell116,-20.1358094895418,12.3315985765085,4.27707974759527,-3.61375781481657,SRR5968382,KTN302,pre_candidate,medium,KTN3020cell116,C2
KTN302__KTN3020cell117,-15.1370367802787,12.1342925984931,2.40220122325295,-2.94772609187089,SRR5968383,KTN302,pre_candidate,medium,KTN3020cell117,C2
KTN302__KTN3020cell118,-16.0545447490761,11.6596188558055,4.98352733974624,-4.00909477553085,SRR5968384,KTN302,pre_candidate,medium,KTN3020cell118,C2
KTN302__KTN3020cell294,-20.1797143310141,12.3964649147576,4.29139519252491,-2.62628087083055,SRR5968385,KTN302,pre_candidate,medium,KTN3020cell294,C2
KTN302__KTN3020cell293,-20.0667230813769,12.6712934853577,2.92469634558299,-3.16206896984198,SRR5968386,KTN302,pre_candidate,medium,KTN3020cell293,C2
