"group","rank","gene_id","score"
"KTN132__mid_candidate",84,"ENSG00000110717",4.56761601757924
"KTN132__mid_candidate",85,"ENSG00000109654",-4.5648794747859
"KTN132__mid_candidate",86,"ENSG00000169439",-4.55543246110267
"KTN132__mid_candidate",87,"ENSG00000117983",4.5542536625157
"KTN132__mid_candidate",88,"ENSG00000174021",4.54783411342801
"KTN132__mid_candidate",89,"ENSG00000106541",4.54199254709621
"KTN132__mid_candidate",90,"ENSG00000236552",4.53863454799728
"KTN132__mid_candidate",91,"ENSG00000092964",-4.53142581486312
"KTN132__mid_candidate",92,"ENSG00000107863",-4.53120791448844
"KTN132__mid_candidate",93,"ENSG00000104611",4.52781360874976
"KTN132__mid_candidate",94,"ENSG00000210196",-4.50786189406853
"KTN132__mid_candidate",95,"ENSG00000115380",-4.50560387083235
"KTN132__mid_candidate",96,"ENSG00000160213",4.49910438274965
"KTN132__mid_candidate",97,"ENSG00000141867",-4.48685910302634
"KTN132__mid_candidate",98,"ENSG00000167799",4.47169302273994
"KTN132__mid_candidate",99,"ENSG00000187608",4.47092778675656
"KTN132__mid_candidate",100,"ENSG00000213719",4.45797235962589
"KTN132__pre_candidate",1,"ENSG00000143556",9.02848860482183
"KTN132__pre_candidate",2,"ENSG00000228253",-8.09066436746571
"KTN132__pre_candidate",3,"ENSG00000137673",-7.67037040963315
"KTN132__pre_candidate",4,"ENSG00000143546",7.08073939526872
"KTN132__pre_candidate",5,"ENSG00000160182",7.05343481612818
"KTN132__pre_candidate",6,"ENSG00000111341",-6.99367507129212
"KTN132__pre_candidate",7,"ENSG00000147862",-6.63923689332813
"KTN132__pre_candidate",8,"ENSG00000198162",-6.55942332301086
"KTN132__pre_candidate",9,"ENSG00000198695",-6.54735423963408
"KTN132__pre_candidate",10,"ENSG00000026025",-6.54168013197966
"KTN132__pre_candidate",11,"ENSG00000104332",-6.34124734144207
"KTN132__pre_candidate",12,"ENSG00000198786",-6.32436614767757
"KTN132__pre_candidate",13,"ENSG00000135046",-6.3109429783193
"KTN132__pre_candidate",14,"ENSG00000105141",6.26819079104182
"KTN132__pre_candidate",15,"ENSG00000119900",-6.22987407119365
"KTN132__pre_candidate",16,"ENSG00000012223",-6.21643717568361
"KTN132__pre_candidate",17,"ENSG00000120742",-6.20085006118217
"KTN132__pre_candidate",18,"ENSG00000117632",-6.17012942729063
"KTN132__pre_candidate",19,"ENSG00000065154",-6.16677218307915
"KTN132__pre_candidate",20,"ENSG00000137970",-6.05746046934229
"KTN132__pre_candidate",21,"ENSG00000240409",-5.94580662279359
"KTN132__pre_candidate",22,"ENSG00000123983",-5.90661290555494
"KTN132__pre_candidate",23,"ENSG00000115310",-5.88787636254931
"KTN132__pre_candidate",24,"ENSG00000124783",-5.87941050135313
"KTN132__pre_candidate",25,"ENSG00000119655",-5.87471586518987
"KTN132__pre_candidate",26,"ENSG00000109332",-5.86370257296708
"KTN132__pre_candidate",27,"ENSG00000231991",5.8569171533301
"KTN132__pre_candidate",28,"ENSG00000171867",-5.82462947006379
"KTN132__pre_candidate",29,"ENSG00000094755",-5.82248618241454
"KTN132__pre_candidate",30,"ENSG00000085063",-5.82126100131998
"KTN132__pre_candidate",31,"ENSG00000110484",5.81278881027298
"KTN132__pre_candidate",32,"ENSG00000187109",-5.7782263899249
"KTN132__pre_candidate",33,"ENSG00000210144",-5.74690107266417
"KTN132__pre_candidate",34,"ENSG00000119335",-5.70617480255348
"KTN132__pre_candidate",35,"ENSG00000143013",-5.69230136866319
"KTN132__pre_candidate",36,"ENSG00000234741",-5.68509258877779
"KTN132__pre_candidate",37,"ENSG00000169908",-5.67208252644891
"KTN132__pre_candidate",38,"ENSG00000115461",-5.67174604726683
"KTN132__pre_candidate",39,"ENSG00000118816",-5.65187440345439
"KTN132__pre_candidate",40,"ENSG00000109846",-5.62938474862665
"KTN132__pre_candidate",41,"ENSG00000026508",-5.62449935369694
"KTN132__pre_candidate",42,"ENSG00000100852",-5.60951660970588
"KTN132__pre_candidate",43,"ENSG00000177565",-5.60663175602368
"KTN132__pre_candidate",44,"ENSG00000213639",-5.60538932795452
"KTN132__pre_candidate",45,"ENSG00000095787",-5.56230431228641
"KTN132__pre_candidate",46,"ENSG00000171346",-5.54781182596244
