"cluster","rank","gene_id","score"
"C3",17,"ENSG00000144810",5.31481704368662
"C3",18,"ENSG00000116962",5.27373379346244
"C3",19,"ENSG00000142156",5.23348670356603
"C3",20,"ENSG00000111799",5.18263376799557
"C3",21,"ENSG00000170801",5.10898952240209
"C3",22,"ENSG00000148516",5.07591662808928
"C3",23,"ENSG00000082074",5.04379371311218
"C3",24,"ENSG00000166033",5.02939062952382
"C3",25,"ENSG00000099953",5.00646676509107
"C3",26,"ENSG00000126550",4.9654553711345
"C3",27,"ENSG00000140937",4.95130440286517
"C3",28,"ENSG00000060718",4.94723696070556
"C3",29,"ENSG00000168542",4.94720959578868
"C3",30,"ENSG00000130635",4.94305694259187
"C3",31,"ENSG00000137801",4.93754608726276
"C3",32,"ENSG00000137959",4.88657098628702
"C3",33,"ENSG00000118523",4.8750528222667
"C3",34,"ENSG00000011465",4.86036944433966
"C3",35,"ENSG00000107562",4.83775667862291
"C3",36,"ENSG00000129009",4.83754864442642
"C3",37,"ENSG00000123500",4.80920314114132
"C3",38,"ENSG00000132465",4.69853488678561
"C3",39,"ENSG00000134258",4.69838433526123
"C3",40,"ENSG00000137573",4.69529043734799
"C3",41,"ENSG00000158747",4.69381441586757
"C3",42,"ENSG00000185479",4.68698261745021
"C3",43,"ENSG00000149257",4.65722134384221
"C3",44,"ENSG00000168386",4.6529988036537
"C3",45,"ENSG00000159403",4.60868377448115
"C3",46,"ENSG00000102024",4.5700756430638
"C3",47,"ENSG00000196562",4.50154816268958
"C3",48,"ENSG00000108244",4.49269495774977
"C3",49,"ENSG00000133816",4.49263355637084
"C3",50,"ENSG00000119922",4.4880199871253
"C4",1,"ENSG00000110484",8.8808880690975
"C4",2,"ENSG00000143546",7.55822081651056
"C4",3,"ENSG00000160182",7.02995572752294
"C4",4,"ENSG00000143556",6.93128287035047
"C4",5,"ENSG00000231991",6.82515107285271
"C4",6,"ENSG00000163220",6.47182854711039
"C4",7,"ENSG00000163993",6.39894253033073
"C4",8,"ENSG00000198618",5.13861148528186
"C4",9,"ENSG00000224415",4.83120622639272
"C4",10,"ENSG00000111057",4.81625963709395
"C4",11,"ENSG00000115648",4.80714950300748
"C4",12,"ENSG00000172551",4.74833458873933
"C4",13,"ENSG00000234745",4.68943200159641
"C4",14,"ENSG00000111640",4.68263247745595
"C4",15,"ENSG00000281383",4.50066295305182
"C4",16,"ENSG00000166710",4.48419523735327
"C4",17,"ENSG00000178568",4.42035900065942
"C4",18,"ENSG00000170421",4.28331532284481
"C4",19,"ENSG00000166794",4.27744819212442
"C4",20,"ENSG00000106541",4.25813912103426
"C4",21,"ENSG00000177600",4.23908022882649
"C4",22,"ENSG00000189001",4.15555649780242
"C4",23,"ENSG00000179218",4.06189227238636
"C4",24,"ENSG00000168298",4.02480319499945
"C4",25,"ENSG00000102265",3.93674566171763
"C4",26,"ENSG00000288867",3.77593144924623
"C4",27,"ENSG00000216740",3.72687493684965
"C4",28,"ENSG00000184357",3.69081008199243
"C4",29,"ENSG00000254012",3.68875728777426
"C4",30,"ENSG00000165949",3.64304655199964
"C4",31,"ENSG00000235808",3.59761330297494
"C4",32,"ENSG00000160862",3.55566258857904
"C4",33,"ENSG00000084207",3.5464132402089
"C4",34,"ENSG00000224083",3.52377856482627
"C4",35,"ENSG00000227173",3.47164795510364
"C4",36,"ENSG00000280800",3.47028070787111
"C4",37,"ENSG00000143578",3.4646406015771
"C4",38,"ENSG00000219146",3.42444708509856
"C4",39,"ENSG00000236552",3.41696607341998
"C4",40,"ENSG00000230897",3.38250603757223
"C4",41,"ENSG00000236762",3.34408532506935
"C4",42,"ENSG00000227347",3.34186689673355
"C4",43,"ENSG00000225093",3.32350924350791
"C4",44,"ENSG00000235644",3.31796563384175
"C4",45,"ENSG00000189334",3.31618580642509
"C4",46,"ENSG00000105401",3.30737806526034
"C4",47,"ENSG00000230508",3.27805268320861
"C4",48,"ENSG00000230291",3.25397004473076
"C4",49,"ENSG00000138696",3.25252393711588
"C4",50,"ENSG00000238003",3.19949103216129
