"candidate_timepoint","proliferation","EMT","hypoxia","interferon","MYC","mTOR","angiogenesis","resistance"
"mid_candidate",1.7950544678691,4.12813607849652,3.11872744817053,4.10596046455275,3.03738241979264,1.41472377586584,1.37788476777759,1.24330448663735
"pre_candidate",2.60063896247552,2.28820594855074,3.37532725043309,1.82871800647812,3.82134624576671,1.88610900431864,1.09188537026951,1.43007484254014
